run_id,question_id,category,file_format,repeat_index,session_id,question,expected_sources,should_refuse,http_status,answer,returned_sources,required_keyword_coverage,missing_required_keywords,forbidden_keywords_found,source_pass,refusal_pass,total_ms,manual_correctness,manual_completeness,manual_confusion,manual_notes,error,tested_at
2717d252-7d28-4475-a86e-cf62af5c8c76,Q001,五种文件唯一事实,txt,1,c4aedeb3-2da8-4bc0-ae79-8c1e932f12be,紫色工单关闭前需要哪两类人员完成什么操作？,rag_eval_basic.txt,false,200,"紫色工单关闭前需要由客服主管和合规专员完成双签。

参考来源：rag_eval_basic.txt",rag_eval_basic.txt,1.0000,,,true,,6644.62,,,,,,2026-07-24T18:40:18+08:00
2717d252-7d28-4475-a86e-cf62af5c8c76,Q002,五种文件唯一事实,txt,1,6f199f07-311d-4d61-92b1-55352e57169d,北辰夜班纸质交接记录存在哪里并保存多久？,rag_eval_basic.txt,false,200,"北辰夜班纸质交接记录统一保存在C-19柜，保存期限为93天。

参考来源：rag_eval_basic.txt",rag_eval_basic.txt,1.0000,,,true,,7498.49,,,,,,2026-07-24T18:40:25+08:00
2717d252-7d28-4475-a86e-cf62af5c8c76,Q003,五种文件唯一事实,md,1,da2fc798-4ccf-49cf-b109-6e03472bad70,云帆正式版本必须通过哪个通道发布？,rag_eval_technical.md,false,200,"云帆正式版本必须通过“青羽通道”发布。

参考来源：rag_eval_technical.md",rag_eval_technical.md,1.0000,,,true,,5972.51,,,,,,2026-07-24T18:40:31+08:00
2717d252-7d28-4475-a86e-cf62af5c8c76,Q004,五种文件唯一事实,md,1,c0f3dc78-ec6c-4013-8ff9-3cc0b5059250,云帆回滚完成后的最终复核由哪个组负责？,rag_eval_technical.md,false,200,"云帆回滚完成后的最终复核由白鲸组负责。

参考来源：rag_eval_technical.md",rag_eval_technical.md,1.0000,,,true,,6734.16,,,,,,2026-07-24T18:40:38+08:00
2717d252-7d28-4475-a86e-cf62af5c8c76,Q005,五种文件唯一事实,docx,1,a229925e-86db-4e52-8582-642119205e51,普通DOCX中异常记录必须写入什么校验词？,rag_eval_normal.docx,false,200,"普通DOCX中异常记录必须写入梅花校验词。

参考来源：rag_eval_normal.docx",rag_eval_normal.docx,1.0000,,,true,,6338.17,,,,,,2026-07-24T18:40:44+08:00
2717d252-7d28-4475-a86e-cf62af5c8c76,Q006,五种文件唯一事实,docx,1,f5f528e9-4294-4ec9-b929-4d3bfcfdb87a,普通DOCX最终归档批次进入哪个目录并保留多久？,rag_eval_normal.docx,false,200,"普通DOCX最终归档批次进入N-42目录并保留146天。

参考来源：rag_eval_normal.docx",rag_eval_normal.docx,1.0000,,,true,,6366.35,,,,,,2026-07-24T18:40:51+08:00
2717d252-7d28-4475-a86e-cf62af5c8c76,Q007,五种文件唯一事实,docx_table,1,3b76ed0a-c0b8-44fe-8ec9-5e8ff6ac6720,表格DOCX的容器发布必须走哪个通道？,rag_eval_table.docx,false,200,"表格DOCX的容器发布必须走银杏通道。

参考来源：rag_eval_table.docx",rag_eval_table.docx,1.0000,,,true,,6015.81,,,,,,2026-07-24T18:40:57+08:00
2717d252-7d28-4475-a86e-cf62af5c8c76,Q008,五种文件唯一事实,docx_table,1,78d8a277-74cd-471f-ab01-7370525d729a,表格DOCX的值守密钥最终封存在哪里？,rag_eval_table.docx,false,200,"表格DOCX的值守密钥最终封存在D-08柜。

参考来源：
rag_eval_table.docx",rag_eval_table.docx,1.0000,,,true,,6024.97,,,,,,2026-07-24T18:41:03+08:00
2717d252-7d28-4475-a86e-cf62af5c8c76,Q009,五种文件唯一事实,pdf,1,01a3880b-fc12-43be-b716-6e85fc7cffa3,远岚机房湿度告警阈值是多少？,rag_eval_pages.pdf,false,200,"远岚机房湿度告警阈值是71%。

参考来源：rag_eval_pages.pdf",rag_eval_pages.pdf,1.0000,,,true,,10175.7,,,,,,2026-07-24T18:41:13+08:00
2717d252-7d28-4475-a86e-cf62af5c8c76,Q010,五种文件唯一事实,pdf,1,159d3bba-61af-4f32-b1d7-a222b72a802d,远岚演练恢复检查由哪个组负责？,rag_eval_pages.pdf,false,200,"远岚演练恢复检查由松塔小组负责。

参考来源：rag_eval_pages.pdf",rag_eval_pages.pdf,1.0000,,,true,,6523.2,,,,,,2026-07-24T18:41:20+08:00
2717d252-7d28-4475-a86e-cf62af5c8c76,Q011,精确数字编号代码命令,txt,1,99a81a1b-776d-4d8e-b815-70a65157b38c,紫色工单的精确编号和首次响应时限分别是什么？,rag_eval_basic.txt,false,200,"紫色工单的精确编号为TXT-SLA-2048，首次响应时间必须控制在18分钟以内。

参考来源：rag_eval_basic.txt",rag_eval_basic.txt,1.0000,,,true,,6697.33,,,,,,2026-07-24T18:41:26+08:00
2717d252-7d28-4475-a86e-cf62af5c8c76,Q012,精确数字编号代码命令,md,1,b5cb00bb-1b98-4707-bd64-ccd0dbbb378c,云帆平台启动服务使用的完整命令是什么？,rag_eval_technical.md,false,200,"云帆平台启动服务使用的完整命令是：
```bash
python -m uvicorn main:app --host 127.0.0.1 --port 8123
```

参考来源：
- rag_eval_technical.md",rag_eval_technical.md,1.0000,,,true,,7312.72,,,,,,2026-07-24T18:41:34+08:00
2717d252-7d28-4475-a86e-cf62af5c8c76,Q013,精确数字编号代码命令,md,1,33c76caf-28d2-4bdb-979d-4e93a151bc27,云帆发布记录要求的重试配置值是什么？,rag_eval_technical.md,false,200,"云帆发布记录要求的重试配置值是 `RETRY_LIMIT=4`。

参考来源：rag_eval_technical.md",rag_eval_technical.md,1.0000,,,true,,28192.86,,,,,,2026-07-24T18:42:02+08:00
2717d252-7d28-4475-a86e-cf62af5c8c76,Q014,精确数字编号代码命令,docx,1,2fceef6f-ac0c-48dc-9d76-f2d9d032452b,第一阶段第5天使用的批量大小配置是什么？,rag_eval_normal.docx,false,200,"第一阶段第5天使用的批量大小配置是DOCX_BATCH_SIZE=48。

参考来源：rag_eval_normal.docx",rag_eval_normal.docx,1.0000,,,true,,7540.88,,,,,,2026-07-24T18:42:09+08:00
